ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
319,Atrium European Real Estate Limited,IFRS,Noncon,USD,EUR - USD 0.7579,255.31,0.12,192.64,0.75,192.64,130.23,249.51,0,734.66,734.66,160.84,167.04,89.46,83.65,-6.07,11.87,734.66,1.06,6.05,6.05,-9.26,6.08,3.81,3.81,BBB-
320,"AutoNation, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,18988.6,-0.01,894.6,0.04,955.3,331.4,52.2,13.6,1571.5,2057.1,362.2,303.6,170.2,0,131.2,148.6,1571.5,-1304.9,2.47,2.17,-4.21,3.72,2.15,1.76,BBB-
321,"Avnet, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,17439.96,-0.33,801.86,0.04,873.67,263.35,498.21,50.11,1792.72,2367.24,477.8,221.05,120.4,88.66,-577.75,802.74,1792.72,-275.88,5.12,3.54,-9.32,6.91,2.71,2.24,BBB-
322,"Axtel, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,672.28,0.37,217.59,0.32,261.31,-173.61,69.8,43.21,1031.36,1293.69,89.78,72.81,195.86,0,-123.06,0.22,1031.36,0,1.77,1.56,-5.05,1.89,4.95,4.74,BB-
323,"Becton, Dickinson & Company",U.S. GAAP,Con,USD,USD - USD 1.0000,12483,0.21,3493,0.27,3605,976,575,1001,11440,12336,2250,2559,718,562,1279,-158,11440,-32,6.69,5.42,-10.34,8.91,3.42,3.27,BBB-
324,BellSouth Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,20547,0.01,8967,0.43,9252,2913,427,4109,17188,19468,6833,6708,3457,2051,1085,-1555,17188,-1096,7.25,5.92,-11.23,8.49,2.1,1.92,A-
325,"Best Buy Co., Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,49621,0,2536,0.05,3710.62,-244,1826,1143,2296,11693,1336,1422,742,224,456,0,2296,-228,11.43,2,-35.62,20.29,3.15,0.91,BBB-
326,Bharti Airtel Limited,Local GAAP,Con,USD,INR - USD 64.8386,14723.99,-0.01,5448.88,0.37,5448.88,586.04,1191.99,2743.86,9794.74,9794.74,3595.88,3959.18,4769.18,141.4,-951.39,-846.69,9794.74,-145.58,4.94,4.94,-6.97,6.08,1.78,1.78,BBB-
327,Bio-Rad Laboratories Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,2068.17,0.02,299.1,0.14,343.5,28.12,328.51,0.33,437,792.2,230.93,216.43,141.57,0,74.86,14.16,437,11.28,11.83,4.51,-22.11,14.03,2.31,1.46,BBB-
328,"Boardwalk Pipelines, LP",U.S. GAAP,Noncon,USD,USD - USD 1.0000,1307.2,0.04,799,0.61,812.3,302.2,4.6,0,3580,3686.4,621.3,600.8,590.4,102.2,-91.8,-0.2,3580,0,4.64,4.38,-7.67,4.68,4.54,4.48,BBB-
329,BR Properties S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,142.91,-0.34,103.14,0.72,103.14,9.38,296.51,179.64,1162.32,1162.32,-49.23,-51.45,103.4,0.84,-155.69,-130.46,1162.32,0,0.32,0.32,-1.7,0.78,11.27,11.27,BB-
330,Braskem S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,14627.59,0.01,3534.76,0.24,3534.76,-232.32,2421.97,4421.36,11997.85,11997.85,2387.91,1655.98,871.26,613.17,171.55,-0.31,11997.85,0,6.06,6.06,-7.04,7.48,3.39,3.39,BBB-
331,BRF S.A. ,Local GAAP,Con,USD,BRL - USD 3.2585,10352.27,0.04,1039.96,0.1,1134.57,-112.73,2141.85,995.86,5921.11,6394.16,430.91,894.09,830.58,360.98,-297.48,786.29,5921.11,-164.77,2.43,2.05,-4.32,4,5.61,5.66,BBB-
332,Bristol-Myers Squibb Company,U.S. GAAP,Con,USD,USD - USD 1.0000,19427,0.17,5217,0.26,5362,4457,1100,992,6504,7664,3701,2850,1215,2547,-912,-975,6504,-50,19.83,11.7,-39.38,27.31,1.43,1.25,A-
333,Bulgarian Energy Holding EAD,IFRS,Con,USD,BGN - USD 1.6084,3804.65,0.08,97.74,0.02,97.74,-134.42,245.27,129.13,1043.27,1043.27,114.71,308.07,239.55,12.75,55.77,0,1043.27,0,3.6,3.6,-9.2,2.54,9.68,9.68,BB-
334,C.V.A. S.p.A. a s.u.,Local GAAP,Noncon,USD,EUR - USD 0.8237,1465.22,0,206.02,0.14,206.02,71.75,401.72,28.29,336.89,336.89,140.59,74.91,38.85,162.56,-126.5,0,336.89,0,10.98,10.98,-19.03,16.01,1.64,1.64,A-
335,Cable & Wireless Communications Limited,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB-
336,CAP S.A.,IFRS,Con,USD,USD - USD 1.0000,1635.61,0.1,442.64,0.27,442.64,98.7,733.22,392.61,1422.14,1422.14,263.52,308.1,58.27,11.25,238.57,-13.96,1422.14,0,5,5,-6.19,6.89,3.21,3.21,BBB-
337,Cellco Partnership,U.S. GAAP,Con,USD,USD - USD 1.0000,62131,0.25,24067,0.38,25720,14398,607,8001,26662,39886,23662,21928,7152,3138,11638,4881,26662,0,32.97,10.87,-21.96,32.61,1.55,1.11,A-
338,Cellnex Telecom S.A.,IFRS,Con,USD,EUR - USD 0.9185,666.09,0.4,255.53,0.38,379.86,51.39,55.53,8.17,1113.12,2058.03,228.2,180.84,153.29,8.82,0.22,728.25,1113.12,0,21.94,2.69,-17.54,23.43,5.42,4.36,BBB-
339,Cementos Pacasmayo S.A.A.,IFRS,Con,USD,PEN - USD 3.3560,369.54,0,113.41,0.3,115.01,36.58,23.9,0,272.14,283.35,90.66,73.35,40.84,46.01,-13.5,-0.43,272.14,0,7.28,6.65,-7.1,8.02,2.44,2.37,BBB-
340,"CEMEX, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,12102.85,0.11,2466.11,0.2,2587.04,627.55,557.37,620.99,13647.75,14373.32,1419.73,1810.06,700.68,0,1166.97,-414.78,13647.75,471.6,2.58,2.39,-3.17,2.82,5.56,5.53,BB-
341,Cencosud S.A.,Local GAAP,Con,USD,CLP - USD 667.2900,15393.92,-0.06,1098.37,0.07,1386.42,581.15,650.7,527.85,4386.72,6403.09,327.01,224.46,374.99,340.78,-491.31,-183.62,4386.72,50.73,1.8,1.5,-4.2,2.8,4.6,4,BBB-
342,Centrais Eletricas Brasileiras S.A. (Eletrobras),Local GAAP,Con,USD,BRL - USD 3.2585,17912.3,0.98,-1504.28,-0.08,-1504.28,1078.19,1895.86,1838.15,14436.68,23417.96,944.57,699.33,1129.64,1.78,-432.09,1004.35,14436.68,891.88,1.5,1.5,0.1,-1.1,-18.1,-11.2,BB-
343,Centrica plc,IFRS,Con,USD,GBP - USD 0.8129,33339.89,-0.03,2774.02,0.08,2897.04,2056.83,2473.86,340.76,6866.77,7178,2556.28,3111.08,1019.81,654.45,1265.84,274.33,7539.67,832.82,10.74,7.54,-9.77,11.58,2.59,2.36,A-
344,"CEZ, a.s.",IAS,Con,USD,CZK - USD 25.6390,7878.97,-0.02,2271.93,0.28,2271.93,557,632.55,996.57,6545.34,6545.34,1842.78,1787.36,1266.27,831.74,-310.66,-62.79,6545.34,0,9.43,9.43,-15.88,10.57,2.85,2.85,A-
345,China Communications Construction Company Limited,IFRS,Con,USD,CNY - USD 6.9498,61868.26,0.06,5241.59,0.08,7229.27,2476.33,15643.62,14314.66,39350.77,55252.24,3152.61,3638.95,5221.16,626.21,-2208.41,362.02,39350.77,215.83,2.52,1.73,-7.28,3.24,6.96,6.61,A-
346,China National Chemical Corporation,Local GAAP,Noncon,USD,CNY - USD 6.4915,39846.45,0,3711.71,0.09,3711.71,-127.59,4467.48,19454.03,33655.71,36053.46,1531.59,1967.29,1476.52,0,490.77,7388.51,33655.71,0,1.95,1.95,-3.16,2.43,9.91,9.25,A-
347,China Oriental Group Company Limited,IFRS,Con,USD,CNY - USD 6.1190,4656.89,-0.12,313.41,0.06,314.46,10.9,147.26,1088.21,1335.07,1343.41,332.26,89.56,60.5,0,29.05,0,1335.07,0,5.19,5.14,-4.03,4.04,4.35,4.34,BB-
348,China Overseas Land & Investment Limited,IFRS,Noncon,USD,HKD - USD 7.7535,10636.37,0.27,3226.78,0.3,3233.67,2972.04,5340.97,425.97,9376.36,9431.49,1885.03,-1301.3,590.26,442.7,-2334.26,-130.21,9376.36,0.01,6.88,6.75,-13.13,11.26,2.73,2.72,A-
349,"CIBANCO, S.A., Institucion de Banca Multiple, Trus",IFRS,Noncon,USD,MXN - USD 20.7314,128.79,0.22,106.33,0.82,106.33,45.79,207.27,32.88,702.39,702.39,71.2,73.13,13.8,61.08,-21.97,19.05,702.39,0,3.2,3.2,-3.8,3.3,6.6,6.6,BBB-
350,Cielo S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,3774.98,0.1,2521.22,0.66,2521.22,1283.87,839.17,1084.32,3499.58,3499.58,1622.72,1361,161.64,426.88,772.48,30.73,3499.58,2.45,5.17,5.17,-6.56,6.8,1.39,1.39,BBB-
351,CK Hutchison Holdings Limited ,IFRS,Noncon,USD,HKD - USD 7.7555,35183.03,0,7696.34,0.21,10186.32,15543.42,27457.93,7796.53,50071.63,55651.54,4815.29,4566.57,4081.36,5721.62,-5236.41,3364.19,50071.63,0,3.62,2.06,-13.33,4.19,5.78,7.02,A-
352,CK Infrastructure Holdings Limited,IFRS,Con,USD,HKD - USD 7.7505,441.13,-0.14,384.49,0.87,389.91,1506.87,1018.9,1.94,3239.79,3277.72,1107.41,1006.26,37.93,674.54,293.79,999.29,3239.79,593.51,7.08,6.9,-14.53,7.31,2.48,2.46,A-
353,"Coca-Cola FEMSA, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,8572.41,0.16,1401.45,0.16,1460.88,485.74,505.32,147.22,4351.08,4707.64,1092.3,1397.64,612.26,334.95,450.43,720.74,4351.08,0,6.32,5.1,-10.47,7.03,3.23,3.11,A-
354,COFCO (Hong Kong) Limited,Local GAAP,Con,USD,HKD - USD 7.7535,17425.58,0,873,0.05,912.68,509.16,4463.61,5639.52,7851.44,8168.92,605.26,908.73,925.5,0,-16.77,214.34,7851.44,1116.88,3.81,3.31,-9.44,4.69,9.18,9.24,A-
355,Comcast Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,80403,0.07,26924,0.33,27668,8695,3301,5480,62096,68048,19890,18987,10821,2601,5565,4139,62096,-4977,8.75,7.01,-13.03,10.43,2.47,2.32,A-
356,Compagnie Generale des Etablissements Michelin,IFRS,Con,USD,EUR - USD 0.9487,22037.53,-0.01,4304.84,0.19,4545.8,1766.63,1535.79,1306,3043.11,4970.8,3231.79,3018.87,1913.14,542.85,458.52,2.11,3043.11,-212.92,15.39,7.89,-27.2,19.54,1.09,0.7,A-
357,Compania de Minas Buenaventura S.A.A,Local GAAP,Con,USD,USD - USD 1.0000,1068.79,0.12,324.84,0.3,326.39,-304.42,80.54,95.11,647.34,658.15,373.34,384,366.83,7.62,9.55,-7.18,647.34,-1.21,11.87,11.4,-26.22,13.47,1.43,1.41,BBB-
358,Compania Minera Milpo S.A.A.,IFRS,Con,USD,USD - USD 1.0000,714.7,0.14,283.39,0.39,283.39,141.85,751.07,4.35,345.53,345.53,261.17,195.15,83.75,16.75,94.66,0,345.53,0,17.1,17.1,-22.6,17.7,1.2,1.2,BBB-
359,Compass Group PLC,Local GAAP,Con,USD,GBP - USD 0.7715,25411.54,0.11,2366.82,0.09,2540.51,1285.81,448.48,427.74,4414.78,5804.28,1898.9,1914.45,749.19,642.9,489.95,230.72,4414.78,-125.73,15.91,7.3,-25.88,18.88,2.26,1.84,A-
360,Concho Resources Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,2260.24,-0.07,1635.16,0.72,1643.56,-1462.45,53.26,0,2750,2817.2,1345.35,1384.45,2457.87,0,-1073.42,-331.97,2750,1315.96,6.79,6.59,-20.13,7.04,1.71,1.68,BBB-
361,ConocoPhillips Company,U.S. GAAP,Con,USD,USD - USD 1.0000,23693,-0.19,6842,0.28,7379,-3615,3110,1089,27027,31323,3939,4279,4869,1253,-1843,-1286,27027,-189,4.42,3.33,-8.9,6.14,4.12,3.82,A-
362,Consorcio Transmantaro S.A. (CTM),Local GAAP,Noncon,USD,USD - USD 1.0000,405.29,0.54,119.92,0.29,119.92,43.03,3.1,120.37,736.65,736.65,95.35,106.33,289.76,0,-183.43,0,736.65,55,4.41,4.41,-13.14,4.81,6.14,6.14,BBB-
363,Corporacion Azucarera del Peru S.A.,Local GAAP,Con,USD,PEN - USD 3.3560,567.62,0.24,147.35,0.26,147.35,17.78,16.63,51.51,461.24,461.24,36.05,30.73,90.28,0,-59.55,-2.35,461.24,8.76,2.8,2.8,-5.7,7.1,3.3,3.3,BB-
364,Corporacion Lindley S.A.,U.S. GAAP,Noncon,USD,PEN - USD 3.3560,791.76,0.08,148.57,0.18,148.57,71.95,15.48,75.18,532.45,532.45,101.67,116.11,93.89,0,22.22,-106.73,532.45,0,4.14,4.14,-6.66,4.62,3.58,3.58,A-
365,Crown Castle International Corp.,Local GAAP,Con,USD,USD - USD 1.0000,3921.22,0.07,2189.01,0.55,2866.91,356.97,567.6,101.75,12261.68,17684.88,1786.34,1738.28,873.88,1283.15,-374.76,556.85,12261.68,1300.93,4.47,2.5,-7.17,4.65,6.17,5.6,BBB-
366,Cyrela Brazil Realty S.A. Empreendimentos e Partic,Local GAAP,Con,USD,BRL - USD 3.2585,980.61,-0.26,153.14,0.15,153.14,75.07,521.19,348.35,1050.69,1050.69,-31.96,92.32,17.95,32.73,41.64,0,1050.69,0,0.09,0.09,-0.99,1.5,6.13,6.13,BB-
367,"D. R. Horton, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,11861.8,0.12,1587.5,0.13,1612.2,886.3,1021.8,0,2811.6,3009.2,1062.1,618,86.1,118.7,413.2,82.2,2811.6,72.4,7.97,7,-10.04,10.42,1.87,1.77,BBB-
368,Daily Mail and General Trust Plc,IFRS,Con,USD,GBP - USD 0.7715,2485.16,0.04,441.74,0.17,471.81,264.68,33.31,14.26,935.19,1175.76,280.88,272.07,110.82,99.03,39.53,-118.6,935.19,-38.24,7.34,4.77,-24.16,9.84,2.54,2.16,BBB-
369,Daimler AG,U.S. GAAP,Con,USD,EUR - USD 0.8237,157669.05,0.1,18185.02,0.11,18812.67,8452.11,18121.89,44057.3,105243.41,110264.66,13282.75,-1738.5,7656.91,2922.18,-12317.59,-3552.26,105243.41,19.42,25.28,12.23,-59.77,33.69,5.86,5.78,A-
370,Delta Air Lines,U.S. GAAP,Con,USD,USD - USD 1.0000,39639,-0.02,8404,0.21,9704,4373,3160.5,1131,7436,17836,7207,7205,3477,509,3219,-226,7436,-2601,19.72,5.28,-29.89,21.83,1.84,0.89,BBB-
371,Diageo plc,Local GAAP,Con,USD,GBP - USD 0.7705,15639.2,0.14,5112.26,0.32,5236.86,3526.28,1156.39,3225.18,11788.45,12785.2,3761.19,3957.17,672.29,1966.26,1318.62,107.72,11788.45,-51.91,10.26,8.09,-10.41,13.03,2.36,2.23,A-
372,"Dillard's, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,6418.01,-0.04,572.25,0.08,598.21,169.22,346.99,90.48,723.11,830.74,395.19,517.01,104.82,9.79,402.4,20,823.11,-240.17,7.33,5.47,-11.15,9.17,1.56,1.26,BBB-
373,DIRECTV Holdings LLC,Local GAAP,Con,USD,USD - USD 1.0000,17310,0.11,4434,0.25,4487,1250,1149,108,5833,6257,3209,3277,1765,3400,-1888,0,5833,0,11.98,10.28,-18.77,15.34,1.39,1.32,A-
374,DISH Network Corp.,Local GAAP,Con,USD,USD - USD 1.0000,15094.56,0,3177.29,0.21,3584.29,1449.85,5343.95,937.58,17283.99,20729.99,2904.34,2802.15,1327.35,0,1474.8,0,17283.99,394.23,4.73,3.44,-5.47,4.1,5.78,5.44,BB-
375,Dover Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,6794.34,-0.02,1096.2,0.16,1186.34,508.89,128.05,414.55,3637.67,4358.78,693.95,861.98,165.21,268.34,428.43,1355.33,3637.67,8.43,6.24,4.11,-9.91,8.36,3.67,3.32,A-
376,EDF Energy Nuclear Generation Group Ltd.,Local GAAP,Con,USD,GBP - USD 0.6468,4001.24,0.27,1804.27,0.45,1804.27,1076.07,0,2212.43,2212.43,2212.43,1515.15,519.48,502.47,0,17.01,0,2212.43,0,32.65,32.65,-48.13,37.65,1.23,1.23,A-
377,"EDP - Energias de Portugal, S.A.",IFRS,Con,USD,EUR - USD 0.9185,16893.63,-0.04,3792.49,0.22,3918.56,993.58,1401.52,3579.21,20029.4,20433.86,2625.26,2344.37,1968.1,731.95,-355.69,-468.05,20431.79,-43.55,3.53,3.25,-5.76,3.68,5.46,5.43,BBB-
378,Electricite de France (EDF),IFRS,Con,USD,EUR - USD 0.9487,75053.23,-0.05,15366.29,0.2,16038.79,3005.16,25086.64,10629.28,71807.21,71866.77,12408.56,10368.93,15175.5,173.92,-4980.5,-793.72,77127.65,-2.11,6.45,5.21,-10.09,6.78,4.8,4.66,A-
379,Embraer S.A.,IFRS,Noncon,USD,USD - USD 1.0000,6217.5,0.04,832.2,0.13,847.8,166.1,2371.4,533.2,3812.6,3890.6,584.1,535.4,894.6,28.2,-635.6,0,3812.6,1.7,4.34,4.07,-6.58,4.75,4.59,4.58,BBB-
380,Empresa de Transporte de Pasajeros Metro S.A. (Met,IFRS,Con,USD,CLP - USD 707.3400,425.47,0.06,109.88,0.25,109.88,-218.93,251.03,175.45,2310.87,2310.87,14.37,37.34,612.33,0,-574.99,0,2310.87,254.9,1.02,1.02,-10.17,1.18,21.03,21.03,A-
381,"Empresa Generadora de Electricidad Itabo, S.A.",U.S. GAAP,Noncon,USD,USD - USD 1.0000,184.47,-0.07,78.73,0.42,78.89,41.72,62.8,0,95.61,96.88,68.55,68.24,16.68,40.6,10.96,0,95.61,0,12.99,12.66,-14.22,14.12,1.23,1.21,BB-
382,Enagas S.A.,Local GAAP,Con,USD,EUR - USD 0.9487,1283.34,0,930.22,0.72,936.12,439.76,827.98,1169.28,6191.84,6239.06,803.31,666.6,96.97,339.62,230,851.59,0,-8.64,8.88,8.44,-11.54,10.11,6.05,6.04,A-
383,Encana Corporation,Local GAAP,Con,USD,USD - USD 1.0000,3554,-0.25,1195,0.33,1246,-944,834,59,4574,4982,772,625,1132,51,-558,-1052,4574,1129,2.94,2.72,-5.99,3.01,4,3.83,BBB-
384,Energie Baden-Wuerttemberg AG (EnBW),IFRS,Con,USD,EUR - USD 0.8237,25497.75,0.02,2477.84,0.09,2539.64,-547.17,3225.93,1309.34,8829.43,8118.49,1758.77,2067.99,2069.2,248.39,-249.61,-82.68,10034.72,-131.36,4.66,4.18,-8.27,6.19,3.58,3.47,A-
385,"Energy Transfer Partners, LP",U.S. GAAP,Con,USD,USD - USD 1.0000,9151,-0.12,1114,0.12,1136,705,41,0,7272,7448,973,888,1949,961,-2022,786,7272,1388,7.39,6.58,-11.52,7.49,6.42,6.38,BBB-
386,"Energy Transfer, LP",U.S. GAAP,Con,USD,USD - USD 1.0000,21827,-0.36,4681,0.21,4762,297,360,1189,32710.5,33042,3520,3303,7550,3542,-7789,1202,33027,2486,3.5,3.36,-8.38,3.6,6.46,6.43,BBB-
387,Eni SpA,IFRS,Noncon,USD,EUR - USD 0.9487,59758.62,-0.22,10109.62,0.16,10706.23,-1107.83,9791.29,8900.6,30576.58,35349.43,5444.29,7013.81,9676.4,3036.79,-5699.38,-153.89,30576.58,0,7.42,4.72,-3.14,12.56,3.24,2.96,A-
388,ENTEGA Netz AG,Local GAAP,Noncon,USD,EUR - USD 0.9487,61.16,-0.04,58.81,0.96,58.81,17.98,72.1,0,337.3,337.3,43.2,49.74,14.34,24.49,10.91,0,337.3,0,2.9,2.9,-3.5,2.8,5.7,5.7,BBB-
389,EQT Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,2136.76,0.09,1294.71,0.6,1438.01,-452.98,1389.94,0,3318.2,4464.6,999.3,874.34,1637.89,20.16,-783.71,976.24,3318.2,1443.07,7.91,4.47,-16.68,7.64,3.58,3,BBB-
390,"eustream, a.s.",IFRS,Noncon,USD,EUR - USD 0.8237,764.84,-0.09,660.43,0.86,660.43,404.27,231.88,17,1010.08,1010.08,416.41,426.13,57.06,305.94,63.13,0,1010.08,0,14.68,14.68,-19.73,21.8,1.53,1.53,A-
391,Evraz Group SA,IFRS,Con,USD,USD - USD 1.0000,14411,-0.02,1563,0.1,1564,-522,1576,1816,7861,7869,1535,1900,902,0,998,30,7861,-6,3.58,3.58,-3.53,2.67,5.03,5.03,BB-
392,"Expedia, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,8773.56,0.31,1602.93,0.18,1749.93,281.85,1854.8,0,3159.34,4335.34,1576.89,1564.33,749.35,150.16,664.83,-66.31,3159.34,-314.7,11.13,6.18,-14.43,10.43,2.48,1.97,BBB-
393,Fiat Chrysler Automobiles N.V.,Local GAAP,Con,USD,EUR - USD 0.8237,116656.55,0.1,10218.53,0.08,10455.26,696.86,27979.85,9360.2,40942.09,42835.98,8745.9,9917.45,9859.17,18.21,40.06,7.28,40942.09,177.25,4.29,4.01,-7.36,4.14,4.06,3.97,BB-
394,Fibria Celulose S.A.,IFRS,Con,USD,BRL - USD 3.2585,2950.74,-0.04,1145.62,0.38,1145.62,510.66,1442.07,905.32,5512.97,5512.97,845.48,1197.18,1897.19,93.91,-793.92,0,5512.97,0,5.3,5.3,-16.3,6.2,4.8,4.8,BBB-
395,FirstGroup plc,IFRS,Con,USD,GBP - USD 0.6757,8954.71,-0.09,924.08,0.1,969.66,111.29,331.21,113.96,2705.05,3069.71,652.66,480.98,634.75,0,-153.77,-54.02,2705.05,0,4.61,3.88,-8.55,5.11,3.18,2.94,BBB-
396,Flex Ltd.,U.S. GAAP,Con,USD,USD - USD 1.0000,23862.93,-0.02,1299.99,0.05,1424.69,319.56,1830.67,1261.53,4172.17,5169.77,993.19,1149.91,525.11,0,624.8,116.75,4172.17,-337.09,8.7,4.89,-18.05,10.21,3.63,3.21,BBB-
397,Fresenius SE & Co. KGaA,Local GAAP,Con,USD,EUR - USD 0.9185,30077.3,0.18,5432.77,0.18,6326.62,1478.5,585.74,1265.11,16079.48,21800.11,3596.08,3618.94,1591.73,695.7,1331.52,34.84,16079.48,0,6.74,3.37,-8.41,8.67,3.45,2.96,BBB-
398,Furnas Centrais Eletricas S.A.,Local GAAP,Con,USD,BRL - USD 1.6858,4070.1,0.11,921.48,0.22,921.48,376.98,604.21,499.75,5765.85,5765.85,430.66,430.66,1585.33,0.01,-1154.66,0,5765.85,0,3.58,3.58,-15.03,5.53,6.26,6.26,BB-
399,GAIL (India) Limited,Local GAAP,Con,USD,INR - USD 66.3329,8274.58,-0.09,768.08,0.09,768.08,339.44,375.87,802.03,2712.07,2712.07,935.35,783.35,487.23,126.63,169.49,0,2712.07,0,5.25,5.25,-8.82,3.93,3.32,3.32,BBB-
400,Genting Berhad,Local GAAP,Con,USD,MYR - USD 3.0583,5643.17,-0.07,2316.61,0.41,2338.36,703.43,6953.86,634.86,5737.86,4965.27,1913.35,1491.25,2479.45,72.49,-1060.69,-1405.23,6684.4,-10.3,7.68,7.19,-29.04,10.99,2.68,2.63,A-
401,Genting Singapore PLC,IAS,Con,USD,SGD - USD 1.2653,2250.31,-0.03,932.94,0.41,938.18,559.35,2869,421.48,2679.46,1809.23,728.75,521.86,354.71,96.61,70.54,-54.21,3591.63,1.22,4.19,4.12,-30.28,7.36,2.9,2.87,A-
402,Georgian Water and Power LLC,IFRS,Con,USD,GEL - USD 2.3949,45.23,-0.02,23.93,0.52,24.22,7.54,2.84,10.42,30.17,30.97,22.73,20.35,10.37,0.1,9.87,0,30.17,0,7.92,7.36,-10.56,7.31,1.28,1.26,BB-
403,Gerdau S.A.,IAS,Con,USD,BRL - USD 3.2585,11554.91,-0.13,1189.42,0.1,1189.42,-889.58,1868.28,1369.42,6623.95,6623.95,713.27,1010.91,406.29,26.38,578.24,-94.74,6623.95,-29.26,2.87,2.87,-3.46,3.23,5.4,5.4,BBB-
404,GKN Holdings PLC,IAS,Con,USD,GBP - USD 0.8129,10852.5,0.22,1275.68,0.11,1359.33,297.7,421.95,309.39,1351.33,2020.54,976.75,795.42,615.08,184.52,-4.18,-161.15,1351.33,1.23,10.48,6.21,-20.75,13.16,1.42,1.01,BBB-
405,"Globe Telecom, Inc.",Local GAAP,Con,USD,PHP - USD 53.0960,862.6,0.29,514.17,0.59,552.91,130.3,357.15,140.06,1103.3,1413.18,416.71,441.7,337.47,0.06,104.17,0,1103.3,1.71,7.8,5.41,-12.44,7.18,2.56,2.15,BBB-
406,Globo Comunicacao e Participacoes S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,4705.37,-0.04,742.69,0.15,742.69,599.58,2171.46,28.29,909.54,909.54,208.31,-19.77,119.5,778.16,-917.44,-0.81,909.54,0,-0.66,-0.66,-16.99,15.05,1.16,1.16,BBB-
407,Goodrich Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,8074.9,0.15,1612.4,0.19,1670,810.1,987,26.6,2401,2861.8,1458.9,1180,317.5,111,751.1,503.3,2401,-54.8,12.14,8.73,-14.1,12.32,1.71,1.49,A-
408,Grupo Unicomer Company Limited,IFRS,Con,USD,USD - USD 1.0000,1597.78,0.06,191.71,0.12,252.64,68.46,68.49,182.84,782.25,1208.75,178.54,28.12,51.92,19.24,-43.04,9.61,782.25,0,4.3,2.5,-5.6,3.5,4.8,4.1,BB-
409,Guacolda Energia SA,IFRS,Con,USD,USD - USD 1.0000,380.5,-0.13,150.11,0.39,150.11,25.81,38.32,62.23,771.04,771.04,169.71,107.95,77.53,0,30.43,0,771.04,0,6.3,6.3,-6.45,4.7,5.14,5.14,BBB-
410,HeidelbergCement AG,IFRS,Con,USD,EUR - USD 0.8237,15314.19,0.04,2512.93,0.16,2627.66,806.6,519.73,2818.02,9981.55,10899.36,1499.58,1466.8,1142.65,136.58,187.57,152.12,9981.55,-21.73,2.65,2.43,-5.58,3.25,4.17,3.99,BBB-
411,Hess Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,4762,-0.28,1376,0.28,1477,-6132,2407,112,6799,7032,686,772,2251,350,-1829,-140,7374,1656,2.81,2.43,-9.29,4,5.23,5.03,BBB-
412,"Hidroelectrica del Cantabrico, S.A.",Local GAAP,Con,USD,EUR - USD 0.7593,2775.45,0.01,562.76,0.2,562.76,210.98,25.68,244.7,777.56,777.56,478.73,577.9,404.98,107.6,65.32,49.52,777.56,0,7.06,7.06,-11.02,6.41,1.38,1.38,BBB-
